Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Payment_of_Min_Amount,Total_EMI_per_month,Credit_Score
17321.505,1361.45875,6.0,7.0,13.0,20.0,7.64,2.0,2.0,589.67,1.0,14.369364225797485,2
83218.0,6966.833333333332,8.0,6.0,18.0,17.0,12.84,9.0,3.0,2159.69,2.0,246.56364467370705,2
34676.0,3160.666666666666,3.0,6.0,2825.0,25.0,9.99,7.0,3.0,138.3,2.0,69.52897556389723,2
35497.94,3063.161666666667,6.0,7.0,17.0,33.0,6.86,9.0,0.0,2284.86,2.0,39.33346977712343,1
17077.4,1583.1166666666668,9.0,10.0,29.0,59.0,2.6,10.0,0.0,2577.55,2.0,64.17188712598109,1
66995.86,5384.988333333334,3.0,6.0,15.0,30.0,8.16,3.0,2.0,554.69,2.0,0.0,2
119848.77,10035.703,5.0,2.0,10.0,12.0,5.75,2.0,1.0,1049.14,1.0,55.85943763032421,0
66149.48,5230.456666666666,8.0,10.0,30.0,53.0,2.8,12.0,0.0,2576.98,2.0,101.0284878799932,1
17476.37,1241.3641666666665,5.0,7.0,21.0,13.0,11.88,7.0,3.0,1533.86,2.0,72.33847952004095,1
55732.68000000001,4903.39,8.0,8.0,27.0,14.0,8.35,145.0,2.0,2536.84,2.0,208.2720117975153,2
78261.62,6373.801666666666,1.0,1.0,6.0,10.0,7.66,3.0,3.0,431.77,1.0,111.15588436869808,0
25444.95,2342.4125,8.0,6.0,10.0,21.0,16.22,12.0,2.0,249.67,2.0,30.78169485461961,2
38643.04,3506.2533333333336,2.0,3.0,10.0,5.0,7.58,4.0,1.0,581.74,1.0,82.85931789139066,0
18823.32,1423.61,8.0,5.0,16.0,29.0,4.87,10.0,0.0,2643.36,2.0,103.09732991756935,1
19801.99,1625.1658333333337,3.0,3.0,17.0,24.0,10.84,11.0,3.0,2010.01,2.0,45669.0,1
10401.21,657.7674999999998,9.0,10.0,22.0,49.0,0.71,15.0,0.0,2106.7,2.0,14574.0,2
130682.94,10605.245,2.0,5.0,1.0,13.0,4.1,3.0,1.0,752.98,1.0,263.3814446712894,0
44801.72,3973.476666666667,0.0,5.0,6.0,14.0,4.03,5.0,1.0,156.08,1.0,26721.0,0
72034.86,5780.905,5.0,6.0,13.0,19.0,13.76,4.0,3.0,1030.69,2.0,0.0,2
8944.07,781.3391666666665,6.0,10.0,22.0,30.0,24.11,7.0,0.0,4405.04,2.0,43.78268756585749,1
116897.68,9862.393166666665,0.0,4.0,12.0,22.0,5.35,3.0,1.0,742.09,1.0,75.39938582069105,1
86865.84,7479.82,4.0,7.0,11.0,19.0,4.0,4.0,1.0,469.39,1.0,282.0481916829761,2
44103.18,3426.3154999999997,3.0,7.0,13.0,8.0,14.62,7.0,2.0,2576.96,2.0,107.4631287792455,2
36338.78,2908.231666666666,8.0,8.0,30.0,40.0,8.106,14.0,0.0,1861.75,2.0,86.67994081293507,1
36243.05,3235.254166666667,4.0,5.0,14.0,20.0,8.2,5.0,2.0,1009.33,2.0,73.89110879347028,2
118645.8,9525.400376193442,2.0,5.0,5.0,2.0,5.56,4.0,1.0,1480.89,1.0,861.9171985557649,2
80539.08,6542.59,6.0,6.0,18.0,44.0,4.61,10.0,0.0,2160.91,2.0,302.9028659285717,1
49718.55,4179.2125,7.0,10.0,27.0,27.0,5.5,7.0,0.0,1920.25,2.0,231.95678064503065,1
79716.94,6372.078333333334,0.0,4.0,6.0,15.0,8.63,4.0,3.0,1248.42,1.0,57.20732166284538,1
12302.195,822.1829166666665,7.0,7.0,7.0,14.0,5.54,1.0,2.0,419.95,1.0,0.0,0
9598.38,515.8649999999999,7.0,6.0,20.0,20.0,9.31,3.0,3.0,878.44,2.0,15.402638451284131,2
99337.28,8563.106666666668,5.0,5.0,17.0,14.0,13.01,5.0,2.0,255.82,2.0,338.65242393206125,2
15710.555,1290.2129166666666,4.0,5.0,2740.0,18.0,2.58,0.0,2.0,442.17,1.0,26.492123005335547,2
40600.61,3420.3841666666667,4.0,7.0,6.0,9.0,5.5,2.0,1.0,1198.96,0.0,63.61485153131626,2
63861.36,5309.5633333333335,4.0,898.0,12.0,13.0,3.91,1.0,1.0,1071.97,1.0,150.25910536965495,2
18208.19,1720.3491666666666,10.0,6.0,32.0,56.0,2.91,7.0,0.0,2067.33,2.0,66.01536959344403,1
47752.38,4215.517,8.0,6.0,28.0,21.0,13.13,12.0,2.0,1801.77,2.0,166.37574402655838,2
31172.1,2600.675,6.0,10.0,16.0,53.0,26.93,7.0,0.0,3912.19,2.0,106.0456041544089,2
37080.88,3347.0733333333333,7.0,7.0,29.0,32.0,23.96,7.0,0.0,3004.98,2.0,222.0722164981464,2
8576.98,665.7483333333333,7.0,9.0,17.0,45.0,3.15,8.0,0.0,3650.06,2.0,39.668003886569096,1
28694.16,2544.18,8.0,9.0,15.0,44.0,6.52,10.0,0.0,2481.83,0.0,123.70439538098508,1
18743.8,1550.9833333333331,4.0,7.0,24.0,7.0,18.24,6.0,3.0,2019.55,2.0,44.76352139934176,1
73436.06999999999,6191.6725,8.0,5.0,12.0,23.0,9.51,2.0,2.0,45.5,0.0,45.197591079344186,2
32871.96,2621.33,5.0,6.0,14.0,20.0,9.59,0.0,2.0,748.45,1.0,31.64996493402408,2
37361.02,3280.418333333333,10.0,6.0,19.0,54.0,22.41,12.0,0.0,2911.75,0.0,129.87189051717294,2
18289.68,1305.14,6.0,9.0,26.0,40.0,26.39,10.0,0.0,4266.37,2.0,99.10292383645748,1
30559.3,2567.608333333333,4.0,3.0,9.0,26.0,9.54,4.0,1.0,219.2,1.0,13.365203281019776,1
87932.96,7206.746666666668,4.0,3.0,4.0,13.0,10.7,1.0,1.0,649.7,1.0,117.41528169068609,0
73085.96,5947.496666666668,10.0,10.0,29.0,33.0,5.06,15.0,0.0,3870.22,2.0,367.0553672180876,1
10333.895,732.1394166666666,3.0,6.0,20.0,10.0,11.32,8.0,2.0,70.46,2.0,21.453340535857645,2
17137.57,1617.1308333333334,8.0,7.0,34.0,21.0,25.45,12.0,0.0,3680.6,2.0,119.5320319672674,1
19939.92,1719.66,8.0,8.0,21.0,22.0,4.39,10.0,0.0,4211.46,2.0,59.766350223188745,2
118386.4,10124.236666666668,4.0,6.0,1.0,8.0,7.710000000000001,4.0,1.0,0.77,1.0,0.0,2
59907.78,4851.315,5.0,3.0,12.0,23.0,11.23,0.0,2.0,719.35,1.0,67.25811455191668,2
83483.96,6952.996666666668,0.0,4.0,11.0,18.0,4.41,1.0,1.0,152.98,0.0,42.74236077842525,2
15837.31,1019.7758333333336,8.0,6.0,16.0,54.0,18.88,12.0,0.0,3336.83,2.0,63.5875877889013,2
16227.03,1381.352667369128,6.0,8.0,21.0,14.0,19.2,10.0,2.0,1541.87,0.0,67543.0,1
14851.27,1462.605833333333,8.0,9.0,30.0,57.0,23.18,8.0,0.0,2867.66,2.0,43.23479313919076,1
22433.46,1907.5764999999997,4.0,219.0,11.0,1.0,10.73,4.0,1.0,1078.38,1.0,9.530143983210914,2
20975.94,1481.995,10.0,10.0,26.0,45.0,22.83,10.0,0.0,4787.13,2.0,94.80425921400558,2
67531.72,5905.6433333333325,10.0,8.0,31.0,37.0,16.28,8.0,3.0,4192.67,2.0,399.15221909613416,2
31122.79,2761.5658333333336,7.0,5.0,12.0,28.0,9.75,2.0,2.0,358.6,1.0,0.0,2
19809.27,1711.7725,5.0,5.0,8.0,2.0,10.23,2.2,1.0,562.34,1.0,14.05862727465902,2
9817.065,1095.08875,8.0,10.0,24.0,30.0,0.5,9.0,0.0,2083.5,2.0,14.989485740061474,1
18743.075,1330.9229166666669,2.0,7.0,4.0,7.0,9.46,0.0,1.0,183.15,1.0,57.80181332894509,0
34053.4,2670.7833333333333,1.0,2.0,9.0,3.0,4.95,7.0,1.0,1254.14,1.0,55.24566736072506,0
49790.5,4060.208333333333,6.0,5.0,15.0,27.0,3.34,4.0,2.0,1021.5,1.0,63.07841790498636,2
8151.41,926.2841666666668,9.0,7.0,15.0,43.0,3.59,9.0,0.0,1418.45,2.0,29.33729855354037,2
29020.31,2336.5085,0.0,4.0,6.0,3.0,9.78,4.0,1.0,940.83,1.0,31.81302218592132,0
100697.64,8649.47,8.0,7.0,16.0,12.0,19.19,6.0,2.0,1115.0,2.0,78.42068777072657,2
109480.98,9031.415,5.0,4.0,9.0,23.0,16.04,6.0,2.0,372.34,2.0,0.0,2
29937.85,2605.820833333333,0.0,1.0,2.0,10.0,2.05,3.0,1.0,720.68,1.0,20.7794132937915,0
33388.1,2599.3416666666667,6.0,4.0,8.0,15.0,6.51,2.0,2.0,589.89,2.0,0.0,2
80676.84,6929.07,4.0,619.0,12.0,15.0,1.2,4.0,1.0,1035.77,1.0,0.0,2
59823.58,5220.298333333333,0.0,2.0,5.0,3.0,8.96,4.0,1.0,406.75,1.0,45.89219592488452,0
48780.56,3835.046666666666,4.0,5.0,16.0,29.0,4.97,5.0,2.0,967.75,2.0,0.0,0
33818.63,2758.2293333333337,4.0,3.0,1.0,15.0,5.81,2.0,1.0,672.08,1.0,68.0822036909103,0
19797.56,1856.7966666666669,8.0,7.0,31.0,16.0,7.21,6.0,0.0,1793.37,2.0,22.44875876451056,1
16891.04,1420.5866666666668,7.0,7.0,20.0,54.0,19.5,6.0,0.0,2958.46,2.0,112.16922220003993,2
21382.81,1684.9008333333334,7.0,5.0,14.0,18.0,14.18,4.0,2.0,1059.86,2.0,65762.0,2
58290.64,4602.553333333333,7.0,9.0,19.0,35.0,24.39,12.0,0.0,2818.43,0.0,304.74457543804607,2
17433.615,1678.8012500000002,1.0,4.0,2.0,9.0,6.87,0.0,1.0,1037.05,1.0,28.579644404032216,0
90562.83,7299.9025,3.0,4.0,1.0,1.0,6.38,2.0,3.0,1217.99,1.0,147.2207734718398,0
9700.81,870.4008333333333,9.0,7.0,5771.0,21.0,4.82,13.0,3.0,2542.15,2.0,21.75751984338692,1
83358.3,6958.8755,5.0,3.0,5.0,6.0,2.66,4.0,1.0,727.88,1.0,169.93600478124742,0
28690.97,2657.914166666667,4.0,4.0,13.0,14.0,12.28,10.0,2.0,839.77,0.0,0.0,2
19602.22,1448.5183333333334,7.0,4.0,6.0,9.0,10.7,1.0,2.0,962.35,2.0,23.746184300006533,1
89417.16,7170.43,7.0,4.0,19.0,22.0,15.97,4.0,2.0,330.68,2.0,0.0,2
131488.44,11031.37,7.0,7.0,4.0,17.0,3.95,4.0,1.0,1024.09,1.0,203.09172474687256,2
28699.48,2434.623333333333,4.0,7.0,19.0,6.0,17.86,8.0,2.0,813.45,0.0,37.19278655710208,2
66560.22,5369.685,5.0,7.0,20.0,30.0,8.93,0.0,2.0,837.34,2.0,80.29199979452855,2
79556.37,6378.697499999998,8.0,5.0,19.0,5.0,9.88,7.0,2.0,1191.79,2.0,0.0,2
7261.91,393.1591666666667,5.0,7.0,12.0,30.0,17.98,7.0,2.0,908.02,0.0,35.461801249881184,2
62571.84,5440.32,2.0,2.0,7.0,8.0,15.16,1.0,3.0,472.54,1.0,103.55819848462622,0
9026.645,599.2204166666667,8.0,8.0,17.0,23.0,8.22,9.0,0.0,2018.44,2.0,31.38186538858564,2
39232.16,3331.346666666667,5.0,7.0,1.0,10.0,11.32,0.0,3.0,487.44,0.0,0.0,1
36080.59,2858.715833333333,5.0,3.0,20.0,8.0,8.95,4.0,3.0,1445.97,0.0,103.040109298772,1
15599.88,1324.99,6.0,8.0,21.0,60.0,14.27,8.0,0.0,4384.6,2.0,66.73228634614793,1
43501.95,3418.1625,7.0,7.0,20.0,34.0,9.11,6.0,0.0,2373.4,2.0,68.05068485895522,1
14263.355,918.6129166666668,1.0,7.0,12.0,15.0,10.75,4.0,1.0,542.5,1.0,23.47531041348455,2
102745.4,8492.36,4.0,5.0,11.0,14.0,3.8,4.0,3.0,465.88,1.0,0.0,0
49454.13,4328.1775,8.0,5.0,23.0,59.0,4.95,8.0,0.0,1388.56,2.0,73.34635944957465,2
35251.49,2831.624166666666,0.0,4.0,2.0,3.0,1.87,2.0,1.0,143.46,1.0,78.04706428179196,2
90216.75,7487.0625,4.0,2.0,12.0,10.0,2.81,2.0,1.0,9.35,1.0,78530.0,0
10690.96,973.9133333333332,3.0,5.0,15.0,12.0,10.89,3.0,2.0,260.75,1.0,24.454513178548755,2
66610.28,5395.856666666667,4.0,5.0,9.0,17.0,14.71,7.0,2.0,1167.86,2.0,84.91415001846715,1
48072.27,4151.022500000001,7.0,5.0,15.0,61.0,7.37,15.0,3.0,1434.39,2.0,305.05907609916625,1
34978.29,3004.8575,3.0,6.0,13.0,10.0,15.4,6.0,2.0,1219.82,2.0,79.50245626724916,0
67426.82,5810.901666666668,4.0,6.0,5.0,19.0,9.88,7.0,2.0,671.39,2.0,196.5708370165125,2
10091.225,759.9354166666667,224.0,6.0,18.0,22.0,2.21,4.0,2.0,855.24,1.0,16.395341656109302,2
7689.5,695.4849999999999,9.0,9.0,20.0,40.0,23.95,12.0,3.0,3503.17,2.0,53.05905221544299,2
17414.3,1285.1916666666666,3.0,7.0,4685.0,25.0,15.92,6.0,2.0,2500.7,2.0,61.169588703985184,1
17612.175,1143.2288241346553,6.0,5.0,14.0,11.0,12.75,6.0,2.0,1273.32,2.0,108.26413693592328,0
169339.88,13915.975333333332,1.0,6.0,9.0,8.0,7.848000000000001,2.0,3.0,1163.93,1.0,343.1893536716368,1
66105.4,5653.783333333333,6.0,8.0,31.0,26.0,1.4800000000000004,9.0,0.0,1549.56,2.0,214.07212305606225,1
9970.16,625.8466666666667,7.0,6.0,23.0,33.0,16.84,6.0,0.0,2663.53,0.0,42.0009637323451,2
28206.96,2294.58,7.0,7.0,25.0,51.0,8.74,12.0,0.0,1784.66,2.0,135.13379919070908,1
25444.95,2342.4125,8.0,6.0,10.0,21.0,11.22,12.0,2.0,249.67,2.0,30.78169485461961,0
35417.25,3013.4375,3.0,5.0,7.0,12.0,15.96,5.0,2.0,701.43,2.0,0.0,2
35823.96,2937.33,6.0,8.0,22.0,39.0,7.35,8.0,0.0,3029.92,2.0,112.43578465602695,2
61008.0,5235.0,10.0,5.0,32.0,16.0,19.44,12.0,3.0,1755.81,2.0,189.4265306646308,1
14517.44,1293.7866666666666,10.0,8.0,30.0,60.0,4.73,6.0,0.0,1384.57,0.0,7009.0,1
31061.8,2534.483333333333,5.0,7.0,10.0,13.0,6.13,8.0,2.0,157.62,1.0,76.88013523058946,2
40023.81,3214.3175,2.0,5.0,5.0,12.0,0.8,4.0,1.0,1137.04,1.0,122.9857763390716,0
21596.82,1870.025333333333,5.0,3.0,5.0,1.0,2.11,0.0,1.0,1403.39,1.0,9.742872375709254,0
71703.22,5888.2683333333325,604.0,5.0,7.0,17.0,8.76,4.0,2.0,641.99,2.0,0.0,2
8707.38,456.61499999999984,4.0,4.0,23.0,14.0,16.68,8.0,2.0,1684.57,2.0,18.48344183793245,1
142475.32,12013.943333333336,8.0,5.0,11.0,23.0,1.65,3.0,3.0,628.57,1.0,124.40000739699708,2
35643.6,3046.3,4.0,3.0,9.0,29.0,16.48,7.0,2.0,171.98,2.0,60.03954017071801,2
58317.0,4664.75,8.0,5.0,9.0,18.0,21.58,10.0,2.0,98.97,2.0,149.89719942100822,2
30020.14,2179.2978733302443,1.0,7.0,3.0,5.0,1.25,4.0,3.0,1292.34,1.0,257.6197135755544,2
8446.315,627.8595833333334,9.0,6.0,18.0,19.0,11.05,10.0,2.0,1291.0,2.0,28.201959285524588,2
16471.35,1211.6125,3.0,8.0,21.0,7.0,15.77,12.0,2.0,1898.34,2.0,46.67344608509328,1
59494.14,5040.059166666667,0.0,4.0,2.0,6.0,6.6,2116.0,1.0,662.71,1.0,31.134100740407924,0
54000.9,4661.075,4.0,5.0,14.0,33.0,3.28,3.0,2.0,1105.99,1.0,78.81201699314676,2
50811.27,4387.2725,6.0,4.0,20.0,13.0,13.01,5.0,2.0,1274.59,2.0,107.32946356018452,1
21613.57,1716.1308333333334,4.0,7.0,18.0,21.0,18.42,5.0,2.0,878.38,0.0,99.97414136966336,2
7019.435,711.9529166666667,6.0,5.0,20.0,23.0,9.42,5.0,3.0,328.81,2.0,25.2398745547056,2
86200.79999999999,7470.399999999999,7.0,3.0,12.0,11.0,19.07,7.0,2.0,1441.59,2.0,268.61213515777524,2
77677.38,6476.115000000002,3.0,7.0,7.0,23.0,1.42,2.0,2.0,86.8,1.0,118.63054291149555,2
66519.63,5759.302500000002,5.0,3.0,8.0,21.0,1.12,2.0,2.0,64.27,0.0,99.19363073791912,2
